text,song_title,album_title,writer_name,year
0.0, Helden ,"""Heroes""",David Bowie,1977
0.015625,Heroes,"""Heroes""",David Bowie,1977
-0.08750000000000001,Holy Holy,"""",David Bowie,1971
0.01121794871794873,How Does the Grass Grow?,The Next Day,David Bowie,2013
-0.24166666666666667,I Cant Give Everything Away,★,David Bowie,2016
0.08823529411764708,I Dig Everything,"""",David Bowie,1966
0.05378787878787879,I Have Not Been to Oxford Town,Outside,David Bowie,1995
0.047619047619047616,I Want My Baby Back,Early On (1964–1966),David Bowie,1965
0.11925925925925925,I Would Be Your Slave,Heathen,David Bowie,2002
0.05049145299145298,I'd Rather  Be High,The Next Day,David Bowie,2013
0.2416666666666666,I'll Follow You ,Early On (1964–1966),David Bowie,1965
0.14166666666666666,I'll Take You There,The Next Day Extra,David Bowie,2013
-0.4600000000000002,I'm Afraid of Americans,Showgirls,David Bowie,1995
-0.01861111111111112,I'm Deranged,Outside,David Bowie,1995
-0.5735996326905416,I'm Not Losing Sleep,"""",David Bowie,1966
-0.5,If I'm Dreaming My Life,Hours,David Bowie,1999
0.06016042780748664,If You Can See Me,The Next Day,David Bowie,2013
0.47788461538461535,In the Heat of the Morning,The World of David Bowie,David Bowie,1968
0.03863636363636363,The Informer,The Next Day Extra,David Bowie,2013
0.19901960784313732,It's Gonna Be Me,Young Americans,David Bowie,1991
0.1196825396825397,Janine,David Bowie,David Bowie,1969
-0.15857438016528924,The Jean Genie,Aladdin Sane,David Bowie,1973
0.1634920634920635,Joe the Lion,"""Heroes""",David Bowie,1977
-0.14732275132275133,Join the Gang,David Bowie,David Bowie,1967
0.0007142857142857229,Julie,"""",David Bowie,1987
0.2,Jump They Say,Black Tie White Noise,David Bowie,1993
0.015625,Heroes ,Just a Little More Love,David Bowie,2003
-0.19692615813305475,Karma Man,The World of David Bowie,David Bowie,1967
-0.06666666666666667,Killing a Little Time,Lazarus,David Bowie,2016
-0.11425925925925927,Kooks,Hunky Dory,David Bowie,1971
0.049206349206349205,Lady Grinning Soul,Aladdin Sane,David Bowie,1973
0.12768959435626104,Lady Stardust,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.0625,The Last Thing You Should Do,Earthling,David Bowie,1997
0.14545692155067155,The Laughing Gnome ,"""",David Bowie,1967
0.2760204081632655,Law (Earthlings on Fire),Earthling,David Bowie,1997
0.19154401154401154,Lazarus,★,David Bowie,2015
-0.075,Leon Takes Us Outside,Outside,David Bowie,1995
-0.10208333333333335,Let Me Sleep Beside You,The World of David Bowie,David Bowie,1967
0.03333333333333333,Let's Dance,Let's Dance,David Bowie,1983
0.22817760942760945,Letter to Hermione,David Bowie,David Bowie,1969
-0.05572916666666666,Life on Mars?,Hunky Dory,David Bowie,1971
